up,down,mean_length,var_length,mean_time,var_time
54,1230,1402.2079439252336,84030.47467209655,0.06963903236835149,1.8573152525950711
102,1824,1370.2004153686396,127179.41050865407,0.037964492649226994,0.5216700950889394
811,6825,1281.9876898899947,222128.52970702585,0.012750988468752238,0.14914044385477543
751,7418,1304.5476802546211,200183.98478131238,0.011368188113120114,0.056532062943999914
471,3978,1291.7460103394021,231406.93076909048,0.0199764077183154,0.13563729008233805
367,6143,1374.0987711213518,119330.01098159277,0.012977374535878695,0.06395936761951047
283,4583,1360.9823263460748,129094.66224415656,0.019553187939760495,0.1388191132785326
191,4139,1395.3951501154734,92059.0251496888,0.021945605737338527,0.20845898446241343
296,5143,1370.3500643500643,118693.6557230148,0.015118518442123767,0.05902863451426149
175,4053,1401.7802743614002,84029.5304812871,0.01959667043367796,0.15941825087666833
175,3807,1396.5140632847815,90359.93337831645,0.02365562610966391,0.24046377094614219
140,3184,1400.527376654633,85508.22698818425,0.02398726310925135,0.2034069473661737
121,2622,1394.2479037550127,93877.78178105965,0.0363775902990874,0.539378606615488
94,1632,1374.3319814600231,117689.24610348983,0.055539244499759395,0.9503172549740135
177,3210,1372.4564511366991,118618.91181769788,0.02545276550027089,0.2122924573545737
176,3730,1395.2926267281107,91962.71442080128,0.023357918869975892,0.22868019104246318
130,2784,1396.7151681537405,90927.28812270677,0.02714572474999891,0.4206627996864072
231,5053,1398.0554504163513,91526.24730375245,0.018621894551930092,0.16779913726941695
123,2947,1401.14006514658,84348.69764559838,0.030855732424012922,0.4229251448724478
112,2473,1399.635589941973,90299.82078364618,0.02506744474080325,0.3560200144933618
152,3225,1396.7793899911164,91362.6771233472,0.028410698000288687,0.40868486337950033
158,3347,1396.4776034236804,93448.15762963443,0.022362257655897097,0.2373516577094847
141,3298,1403.0657167781333,82525.92821983373,0.02733668593073252,0.4364612762895632
127,3130,1406.5864292293522,78323.18634331346,0.02725995363123001,0.3375934755480142
180,4136,1403.4995366079704,83397.8301666064,0.02280178766261661,0.2694613177206989
169,3777,1402.0369994931577,84206.87496149872,0.02517561913738025,0.24144151509182823
156,3307,1391.8169217441525,96494.99102754427,0.026150644342035727,0.25462352775899527
160,3727,1403.0373038332905,82621.5368126947,0.02332948313137335,0.44939774909945485
139,2904,1392.7827801511667,94747.81117899438,0.02722214116304035,0.5098171870797878
136,2950,1400.6710952689566,85611.72623515813,0.024282513406713353,0.20155612403865697
38,35,182.94520547945206,106857.03809345096,1.258119973871443,22.75966902885855
3,4,57.142857142857146,158.69387755102042,12.961020469665527,713.2922131850079
725,4888,1247.51202565473,291664.73765157105,0.014806906835402409,0.09805214235402447
40,37,202.5064935064935,120544.95125653566,1.2061167390722978,38.256092762113475
72,68,244.64285714285714,141461.74387755102,0.4623973455360467,3.0775453982457375
300,1590,1175.4142857142858,347931.9505895692,0.049541159367801145,0.6992871768743362
192,1816,1340.4815737051792,210161.03750907723,0.04553798068264675,0.48922348483532746
64,741,1376.1863354037266,171855.80378843404,0.09886069380821873,1.8287019061612018
152,1751,1377.5344193378876,170311.05070705904,0.04682133501135087,0.7286575683745024
86,1080,1390.1663807890222,154962.88826940558,0.0655831062742569,1.7548775510852477
102,1067,1335.4123182207015,213047.93435638805,0.07063386783207933,1.0366373333978196
100,797,1294.7670011148273,257428.75842054957,0.09159991519698679,0.5000756391091588
63,41,184.01923076923077,102187.07655325445,0.8449789486100189,10.674077018618236
160,315,712.7578947368421,484256.20033240994,0.18151377429481313,3.035151453614402
54,48,129.68627450980392,58460.15647827758,0.913962727726096,12.581554154696823
8,8,59.8125,29.90234375,3.0263453371384563,86.86810173312385
36,35,218.18309859154928,146422.2059115255,0.904674935848155,7.348297142119239
12,9,360.14285714285717,238229.45578231296,3.4700630261347842,55.38762027530264
12,13,57.4,52.96,3.289278984069824,32.15482571504299
242,3177,1367.9950277859023,176985.24390625107,0.026062475163173508,0.4497804173783898
238,4431,1418.1443563932319,119586.40666176722,0.020952182339110125,0.17863974851833786
91,2033,1442.3380414312617,91565.95729107925,0.035537306677323716,0.5378195087110207
146,2974,1433.9666666666667,102309.5565811966,0.024245685016011993,0.29839995107536116
172,3395,1428.417157275021,107904.87896551016,0.027083347556189026,0.27401393917474953
115,2513,1435.9383561643835,98983.33333854591,0.03107671813733035,0.4651413558712151
126,2404,1424.0691699604743,112870.40351591184,0.03308837096336,0.5314184745391242
193,3529,1414.1738312735088,125427.80723567063,0.023202102884622197,0.4011707577211427
85,1895,1442.5368686868687,91665.48298413427,0.04598589391193265,0.7027157156873117
147,3207,1438.9976147883124,95427.84972597445,0.02570414095183753,0.2870955656445518
134,2885,1438.661808545876,96516.06747483449,0.024235868706775864,0.3012800760821213
144,2913,1434.1364082433759,101784.46258350098,0.028148754572993175,0.35076462317004
90,1869,1435.755997958142,100400.18752783258,0.04251466342937715,0.868663636341061
142,2258,1405.1404166666666,135720.9831998264,0.027456497241676526,0.5456816433015907
30,534,1430.636524822695,108208.71008437707,0.09617288836789173,4.877193241084082
169,3300,1427.9169789564717,108576.32057940026,0.022142096374274126,0.40238457274888206
124,2667,1441.5858115370834,91118.7872440476,0.026963215673550495,0.35448406681671063
104,2193,1440.8310840226382,94760.01674384014,0.03075371220552132,0.5684769331996318
166,3081,1421.579303972898,115307.60496742437,0.023587888504940275,0.35713118586031073
125,2719,1439.1976090014064,94463.04322916357,0.026502829808984222,0.5149933554719148
76,1903,1450.256189994947,81233.19409382141,0.03961569739786269,0.8945389281367607
108,1719,1408.4444444444443,132693.5693000061,0.030632875574118205,1.0388588748553684
105,1705,1412.6033149171271,127650.39512713284,0.04784750674969584,0.7196508711035329
110,2550,1443.768045112782,89726.08867813332,0.030565163209591652,0.49378291322070905
86,2026,1446.7339015151515,85418.03525220243,0.037036172477400514,0.5900463102257162
75,1873,1449.099589322382,82704.20774110446,0.046260203835164576,0.9640010568236164
101,2204,1441.7223427331887,93129.1628196743,0.03575122087366051,0.48207343444380435
180,3356,1417.618778280543,120877.4151903626,0.021809221831541586,0.3257698505408522
100,2266,1445.5050718512257,86237.894099382,0.03464956465029565,0.6232632168333707
100,2363,1445.1648396264718,88411.68374953783,0.038325120335570395,0.7345144694446304
42,1034,1448.7202602230484,81511.35761926312,0.050230760352556095,2.518399280227997
51,1022,1427.0885368126746,109559.79738024494,0.06293291698640852,0.9145688052414004
23,310,1386.4804804804805,164844.3937631325,0.2739658844040101,18.481473529975762
61,70,371.44274809160305,243412.32305809678,0.5620603194603553,38.29414333528214
412,5341,1339.9857465670086,158190.71385906806,0.009845385382337929,0.06511058564408016
138,2923,1391.2685396929107,95707.09547872342,0.021396014425489638,0.2574589661643216
100,2089,1398.309273640932,92698.27027032668,0.04111400578967832,0.9487345235116363
67,1279,1383.4576523031203,106678.06841469635,0.051304921784808645,1.0092431550330976
88,1404,1364.4718498659518,130234.13258558608,0.05512587581202138,1.6514931403699435
123,2151,1368.0510114335973,124581.06775843169,0.037690418384382494,0.4531195272355199
90,2096,1405.2863677950595,79101.57673090587,0.04316452054275352,0.6949488664826045
121,2102,1371.531713900135,119936.80769868197,0.03842467665135807,0.5349033660216128
138,2867,1397.032612312812,92929.17896971492,0.026137668505489587,0.3035819740212445
99,2148,1395.9488206497551,91423.79399838661,0.03334775314942493,0.3061553313967083
55,1237,1401.1013931888544,84865.64064821381,0.048136478427027105,1.3764514853303953
172,2715,1355.3377208174575,137632.96561212436,0.027813921351442714,0.2662027612019297
27,715,1412.1132075471698,70830.1327366119,0.04268480859465606,1.1325593335512856
76,1704,1395.547191011236,91020.01406514329,0.04826900595825264,0.4919180927476503
31,723,1399.8514588859416,86650.10790901224,0.09928402913344002,2.5951046493147563
69,1076,1350.1825327510917,142467.5937560306,0.04766995881820892,0.542815113804849
16,372,1402.8917525773195,85610.08106600065,0.14182260794232981,4.086648780772915
74,1567,1399.8464351005484,88970.66258479306,0.04567775784469232,0.8135916111293688
87,1697,1390.701793721973,96379.39313579604,0.05564723199361907,0.7304846484658273
69,939,1335.9871031746031,159922.35598446554,0.06410403900373775,1.063713797539681
5,2,77.42857142857143,469.95918367346934,2.4966986974080405,13.013098353668637
13,17,432.1333333333333,257353.11555555556,1.4936840534210205,21.272314472203053
549,2346,1106.53298791019,377342.6192054074,0.03194441782176824,0.4294172118014369
53,48,232.11881188118812,139987.5304381923,0.8746027469635009,16.277304291706734
468,6570,1356.9384768400114,136241.90258034552,0.011135406312540001,0.09026579580019527
259,3783,1371.247154873825,122008.97924103934,0.023867906364170934,0.3181504296175914
290,3477,1342.8258561189275,153641.4838761917,0.02499669331283691,0.35042261800370705
318,3989,1354.901787787323,141273.46260883077,0.01755879415892137,0.22922751693993024
197,2629,1362.1967445152159,133392.65909768204,0.02889851257864353,0.385799015636248
215,2871,1361.4977316915101,133206.59088921643,0.030015337988855,0.4255213147912182
324,4510,1367.4658667769963,125573.93067191108,0.017942692117120768,0.1413561432604284
442,5009,1336.969363419556,161148.35330832712,0.01716651522785152,0.18043671261063673
274,3403,1357.4016861571934,137568.64501211472,0.02070680276872803,0.28196349815250593
222,3284,1373.2324586423274,119472.57659617985,0.02626264520446516,0.3672510398473821
315,4222,1352.6286092131365,142204.3070765978,0.021074475750090586,0.26545419629363565
191,2455,1355.2736205593349,140033.83518469956,0.029497257477845047,0.5957719411372278
216,3117,1369.2931293129313,124036.41062486083,0.02666571060148608,0.38560416072644643
230,3318,1369.3838782412627,123241.34925530873,0.021285244468772852,0.319968342510679
283,4397,1375.5416666666667,115603.90381944444,0.020469122024584986,0.17880547005493605
295,3657,1345.5060728744938,150042.7190926748,0.021579082752595638,0.3851942498532768
251,3633,1367.563851699279,125413.2196613745,0.024507019957592278,0.24458996570722685
325,4825,1368.4798058252427,123487.20376695256,0.018906750973976465,0.22579890341946937
216,2936,1364.791878172589,128822.74729444204,0.03160657293256225,0.35712135672580037
252,3837,1372.323795549034,119272.63176686066,0.023701156538759892,0.5267689327963645
165,2579,1375.1669096209912,116845.05085837959,0.030837032945322113,0.4255669174751877
508,4938,1306.5348879911862,191464.93956505353,0.01778158109429256,0.19770439144186525
511,7075,1362.9371210123913,131483.17624660197,0.012755945000745941,0.15382411876827623
122,2699,1400.87061325771,86263.78368445199,0.03429686769526055,0.4542090131799161
116,2623,1399.3384446878422,86673.33817516407,0.031404701613265286,0.4039357936824127
201,3664,1382.3350582147477,107517.01399731226,0.022129886639044152,0.2320883039072815
200,4293,1395.5432895615402,91320.69904967287,0.020926968391092357,0.22559577585390295
216,4091,1379.7404225679127,109544.02781342721,0.020645993981157917,0.18001622691154942
196,4506,1398.881965121225,87555.21809669124,0.018537922829408568,0.19883454340153045
125,2505,1394.3429657794677,97396.59948474028,0.03330551685375299,0.569882698876984
134,2920,1397.8837590045841,87331.8401226086,0.03234301010116842,0.35467770538735616
134,2837,1393.1359811511275,93547.46316513464,0.030229429150076623,0.3027966763273653
170,3480,1393.1071232876711,96686.88797665606,0.026208082312461415,0.37470396711731785
193,3873,1386.1146089522872,102648.88356916583,0.02014369600959956,0.21140347922725786
203,4071,1388.1031820308845,103272.96431837254,0.020381912334858466,0.2477509216142658
140,3289,1406.1154855643044,79407.81693430053,0.02553231584087405,0.2998255081193753
181,4311,1402.4741763134462,84703.37488968218,0.01870720194138058,0.17250431951518033
128,3293,1409.974276527331,73873.68539501153,0.025143018596566678,0.34246521182109046
134,2951,1401.9406807131281,86457.25515221087,0.027750027465573087,0.38068721622399443
189,3867,1390.8976824457593,97323.45427470785,0.023777959379109148,0.25778052383914685
224,4820,1394.4764076130054,91837.75895965623,0.017521746685530904,0.16980179956207492
126,2948,1405.1707872478855,80645.34331057084,0.03159155878227773,0.4912487414335354
108,2271,1396.2694409415722,91246.15648943104,0.03176093903582471,0.46149130714004116
198,4173,1395.8670784717456,90943.11868510456,0.022055971267839865,0.3064194081069655
149,3340,1399.6299799369447,86540.9364586124,0.02129500543852465,0.2782665573015904
119,2704,1400.6425788168615,84568.26651152186,0.02913041625100615,0.5465024315316853
132,2950,1401.1680726800778,85739.3247690953,0.027058675512792382,0.4233492903019605
52,119,848.5204678362574,328012.4250196642,0.19626498919481422,3.043946707454714
539,3187,1197.1033279656467,334360.5505149579,0.021155185827472864,0.24251202338830447
115,1417,1358.7630548302873,189422.16121991083,0.05525673393483726,0.9305920881496124
69,65,193.17164179104478,99139.75412118512,0.5041680479408207,6.62354192316145
25,23,227.16666666666666,129338.30555555552,0.935758428370699,18.32748357703134
