up,down,mean_length,var_length,mean_time,var_time
759,3555,1203.3952248493279,320914.8648914307,0.017721934907817243,0.20327987589357968
100,303,900.9305210918114,304028.3624183389,0.09700136398201559,1.354397821475779
818,3474,1059.2031686859273,362845.35574019246,0.01138576675589283,0.18390900211963984
4,5,84.88888888888889,2390.3209876543206,11.618848741054535,304.57156552886306
18,18,72.66666666666667,1990.1111111111106,2.5219520841326033,29.368648920188427
84,713,1292.6963613550815,260328.25912101375,0.1168467231731319,2.4472001566013435
56,1045,1414.4859218891916,118493.87196347801,0.07769855152476918,1.487096698634601
1124,3290,1025.7972360670594,404990.48380749434,0.018901623972899892,0.022125370358903735
17,21,328.6842105263158,215847.7950138504,2.6615709227484627,43.63803387106698
313,797,818.1702702702703,1270419.523260287,0.08771514978572202,1.406414355219187
15,27,555.2142857142857,392317.8350340136,1.8857176710919636,47.15187835465809
88,117,407.49756097560976,352783.30365258775,0.321043706407734,9.018144588489937
508,5074,1283.9862056610534,222441.30274773127,0.016755381913792593,0.1451173000452803
41,63,527.3653846153846,2150308.7895710063,0.6942898555866723,5.074345551854987
193,479,904.3139880952381,466444.569566238,0.1192643780999674,3.817645280847449
9,8,195.52941176470588,79993.66089965399,5.895205736160278,112.92232283141033
157,343,684.448,441514.73129600007,0.18143622813100566,3.7544280051907344
1266,6153,1093.1303410163096,557800.4193233909,0.012234120588798863,0.053290793709930735
197,1874,1318.9217769193626,429333.14308443305,0.04211052373987465,0.2451131232190897
871,2180,802.3677482792527,467787.68514796154,0.026671565165285203,0.5236314954298728
449,831,674.40859375,461434.2025823975,0.01715751063366995,0.08704131451800964
522,2861,792.9911321312445,486931.08121015783,0.027749245156909078,0.17609710782227156
914,2053,717.5429726996966,461772.0223360232,0.033362097460437445,0.5137396109542517
305,1856,1190.7561314206387,337173.70036152645,0.04619820581542121,0.40828467351968223
65,68,173.6315789473684,115352.50336367237,0.6839125987255212,12.710285119847532
1281,2877,736.8819143819144,440053.4066907074,0.02015972183333987,0.42926366132376353
384,497,439.5255391600454,472071.6318676152,0.11301993240009654,0.9783158117213154
3190,6941,991.5383476458395,457648.78154692915,0.009821635478811461,0.010840858560193378
3430,7565,1007.2348340154616,451530.1403964139,0.009080031925664287,0.008877689998043824
3460,7638,1005.5619931519193,452619.300400857,0.009007880609723226,0.003833406110513504
3150,7590,1037.4622905027934,438938.9025817183,0.00926657666129011,0.003440403843439682
3370,7844,1019.8871054039594,448067.0352305549,0.008900452604219828,0.0038447518997610725
2129,5102,1040.4246992117273,439023.00162477116,0.013818875058228215,0.011211908833568521
1167,2970,1046.3954556441865,434261.2252923776,0.02401812337122757,0.02477013331705347
1089,2690,1033.233659698333,442497.4275412772,0.02618153364081557,0.03375398684256608
696,1761,1039.7863247863247,436667.1171430659,0.04046868909065421,0.07074836239308357
578,1380,1002.7900919305414,454380.46717455745,0.05039716778084156,0.08651302303328315
135,297,876.7962962962963,496182.73165294924,0.1423619296877124,1.8609004009138865
44,49,61.16129032258065,120.47936177592788,0.9402284414871879,24.425552327977698
659,2259,1131.1847155586017,393102.0258527464,0.034141087720032055,0.4517398360502373
2170,13811,1301.5913897753583,252602.80218855094,0.006251178187631695,0.0016517876616599036
909,3014,1123.458832526128,395840.36760169594,0.025389826097152842,0.26001787378265373
628,2530,1055.4680177327423,406057.82085807185,0.03127261359064044,1.509028289439097
1387,3799,874.4161203239491,474688.4076383225,0.01918308668219365,0.10175551084911068
23,29,63.25,242.6875,1.8563180811264937,17.918325443806765
1147,2616,736.5038533085304,456150.0815025582,0.02530200756464405,0.12786879872348786
199,415,636.1596091205212,446214.86377574294,0.11266891174565326,0.9957852077168677
259,256,207.47961165048542,143903.96608916958,0.188884141380221,0.8535535233364487
28,35,64.82539682539682,560.6837994457039,1.583864611964072,35.53641405674555
178,201,274.23746701846966,206303.16788382144,0.26269816216968356,2.277023523662014
31,33,62.53125,185.4052734375,1.578778615073552,40.398664626466065
109,100,133.92344497607655,65756.7118426776,0.4733722714277414,9.982147160320771
37,36,62.78082191780822,372.66428973540985,1.001270314057668,9.725459339496773
186,217,282.62034739454094,217246.58787382478,0.23089650851577076,4.695231016117655
39,40,84.43037974683544,21959.789456817827,1.167215353403336,8.35653567858384
14,16,94.93333333333334,11568.66222222222,2.2889076430222084,43.74159378985049
247,291,339.0483271375465,1597235.0125343767,0.18474400376474392,1.552619989243967
308,1002,956.6603053435115,1000876.761706777,0.07022948006439791,0.5202114485729415
94,91,111.4,35395.818378378375,0.455590862294902,6.703138366917203
226,1522,1145.8403890160182,452486.8114808555,0.05485760531018786,0.4150030946495517
35,36,63.46478873239437,413.57270382860537,1.3886828763144357,26.31735883998484
148,192,402.9,345227.3076470588,0.23961517311478786,1.391519087579982
5,5,60.5,30.25,8.699523872799343,262.7357184605441
38,36,67.06756756756756,1056.3332724616507,1.0237738857530567,3.2978611622659826
577,833,291.0758865248227,685141.0403405259,0.06920136823308984,0.4327913828531172
426,464,289.2752808988764,1043410.482647393,0.10351601011707491,0.49155120364459765
117,176,952.4982935153583,25254207.062283773,0.33947649883897335,1.0635690461244658
696,2846,734.2577639751553,439837.91068929725,0.028094247517966846,0.19275723119188434
35,47,114.65853658536585,89223.24925639502,1.1784286557892223,15.60953283333043
68,87,94.84516129032258,76856.40183142558,0.6464709399582503,6.714470872624325
629,1032,527.8657435279952,491696.9819751997,0.052255919180720686,0.2545029166157676
13,13,79.0,2628.076923076923,3.5137319564819336,49.531528836476355
688,1148,547.5490196078431,393379.09182365757,0.05299197360670209,0.9436393804998795
152,187,193.15634218289085,98330.88706154664,0.28544050701976525,2.3635919373679246
904,2187,998.2442575218375,500293.55632014584,0.030306640952150413,0.06899251098077025
1097,2736,1052.207670232194,432214.68893673236,0.025939564988608152,0.04401939890088333
517,1348,1042.8900804289544,437543.3578908782,0.05359051181523073,0.09115603870126907
568,1438,1031.517447657029,439390.3244712523,0.0498380708575546,0.08794857450642292
508,1323,1048.0202075368652,435308.59762551676,0.05298140270462453,0.09505859072265781
518,1329,1034.3773687060097,443193.41850244283,0.053386790264208166,0.0904589986133855
536,1318,1032.7216828478965,441861.79956221645,0.052461166093623515,0.08877670306975678
562,1372,1015.1747673216132,452280.467905194,0.05050572224127093,0.052613726160820745
529,1297,1024.3614457831325,447129.44876548904,0.05392380152663139,0.06721399067465524
204,505,947.2242595204514,476336.6958289651,0.1383196398363275,0.4438575967187529
203,332,808.4915887850467,513795.99572364404,0.1285221648126952,1.3566241680040192
75,93,375.0357142857143,263416.0106292517,0.5518854592374699,8.998706082184393
6,9,64.6,143.97333333333336,5.914666652679443,219.56039537950886
248,361,466.11494252873564,375229.8061642414,0.12419356327307851,1.2090172753226227
636,849,447.12929292929294,317096.3536537089,0.06636667605037638,0.9714688670108319
11,15,64.38461538461539,207.85207100591714,3.2945200920104982,30.21783441279664
675,907,396.06321112515803,308427.62305871525,0.03770487886075352,0.2900571332439954
21,35,79.42857142857143,3652.5306122448987,1.5437989234924316,22.19587111375205
173,171,217.0581395348837,149608.4617360736,0.2258468508372849,1.1855163190799458
7,10,63.0,168.0,5.673897713422775,173.08121823708632
168,196,257.7142857142857,200897.9073783359,0.24983348925251606,1.8679236343924046
12,6,93.0,4430.666666666667,5.604898228364832,63.32494169151029
61,49,197.01818181818183,115702.14512396698,0.9040334465306833,10.167705110583363
20,20,60.25,29.9375,2.471007261520777,44.60374937120186
